id,sale_date,sale_price,sale_nbr,sale_warning,join_status,join_year,latitude,longitude,area,city,zoning,subdivision,present_use,land_val,imp_val,year_built,year_reno,sqft_lot,sqft,sqft_1,sqft_fbsmt,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm,view_otherwater,view_other,submarket
72,2006-09-15,194651,4.0,   ,nochg,2024,47.5912,-122.3747,36,TUKWILA,R-10,CEDAR HEIGHTS,2,64980,129671,1932,0,4990,3435,3435,0,4,0,5,1.0,4,1,1,1,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
73,2006-03-15,697900,1.0,   ,nochg,2024,47.3602,-122.2837,28,LAKE FOREST PARK,R-6,GREEN VALLEY,2,342263,355637,2007,0,13294,4111,4111,0,7,0,2,1.0,3,3,0,1,0,414,0,0,0,0,1,0,0,0,0,0,0,0,1,0,C
74,1990-05-15,839916,1.0,   ,nochg,2024,47.3299,-122.159,25,CARNATION,R-5,SUMMIT RIDGE,2,359727,480189,2015,0,21877,4913,4913,0,8,0,1,1.0,4,1,1,0,0,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,H
75,2008-11-15,1718854,4.0,   ,nochg,2024,47.5344,-121.8498,50,MERCER ISLAND,RS7.2,MEADOWBROOK,2,788016,930838,1944,0,5585,1421,1421,0,8,0,5,1.0,2,3,1,0,0,223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
76,2006-06-15,652064,2.0,   ,nochg,2024,47.7974,-122.0129,31,DES MOINES,R-8,OLYMPIC VUE ESTATES,2,261686,390378,1996,0,17241,2471,2471,0,8,0,1,2.0,5,2,0,1,0,453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D
77,2015-07-15,500115,4.0,   ,nochg,2024,47.7783,-122.072,30,BURIEN,RS7.2,WILDWOOD LANE NO. 03,2,292690,207425,1974,0,11152,1480,1480,0,7,0,2,1.0,3,1,1,1,0,476,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S
78,2023-12-15,1087846,1.0,   ,nochg,2024,47.3752,-122.0953,22,BEAUX ARTS,RS 8.5,ALDERWOOD SOUTH DIV NO. 02,2,669140,418706,1961,0,10619,4699,4699,0,10,0,1,1.0,1,3,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
79,1990-11-15,600069,3.0,   ,nochg,2024,47.4517,-122.2916,97,BURIEN,R-2,GREEN VALLEY,2,405392,194677,1940,0,15872,1287,1287,0,3,0,5,2.0,4,1,1,0,0,347,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
80,1991-04-15,369196,3.0,   ,nochg,2024,47.7525,-122.2602,71,SEATTLE,R-3,CEDAR HEIGHTS,2,110911,258285,1942,0,20219,1245,1245,0,5,0,1,2.0,3,2,0,0,0,466,0,0,1,0,1,0,0,0,0,0,0,0,1,0,U
81,1996-07-15,607222,3.0,   ,nochg,2024,47.595,-122.2608,58,WOODINVILLE,R-8,WILDWOOD LANE NO. 03,2,269727,337495,1905,0,9698,3217,3217,0,6,0,2,2.0,1,1,0,1,0,134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,T
82,1993-03-15,830145,1.0,   ,nochg,2024,47.4588,-122.3967,47,WOODINVILLE,R-5,GREEN VALLEY,2,318512,511633,2012,0,4800,946,946,0,3,0,4,2.0,2,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,S
83,2011-05-15,3053199,1.0,   ,nochg,2024,47.6166,-121.8937,94,YARROW POINT,RS-7200,SUMMIT RIDGE,2,1864649,1188550,2014,0,15356,2242,2242,0,10,0,2,1.0,3,2,1,1,0,245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,L
84,2013-07-15,857315,2.0,   ,nochg,2024,47.6065,-122.1212,5,SAMMAMISH,R-8,MAPLE GROVE,2,443808,413507,2000,0,11788,4547,4547,0,8,0,2,2.0,4,2,0,1,0,292,0,0,1,0,1,0,0,0,0,0,0,0,1,0,S
85,2011-07-15,1270952,3.0,   ,nochg,2024,47.7123,-121.9117,64,SAMMAMISH,R-5,MAPLE GROVE,2,556149,714803,1916,0,19303,3807,3807,0,9,0,5,2.0,1,3,1,1,0,240,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Q
86,2001-10-15,793507,2.0,   ,nochg,2024,47.7752,-122.2658,20,CARNATION,RS-7200,PINE VIEW ESTATES,2,531148,262359,2019,0,12342,1664,1664,0,8,0,2,1.0,4,2,0,1,0,183,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Z
87,1998-04-15,2920527,4.0,   ,nochg,2024,47.5235,-122.3005,67,CLYDE HILL,R-7,MOUNTAIN VIEW,2,1956295,964232,2017,0,11410,2287,2287,0,11,0,4,1.0,4,3,1,1,0,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,U
88,2007-06-15,842430,2.0,   ,nochg,2024,47.3142,-122.027,64,BOTHELL,R-3,OAKWOOD MANOR,2,266581,575849,1942,0,20725,2136,2136,0,12,0,5,1.0,3,2,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B
89,2022-10-15,696125,3.0,   ,nochg,2024,47.6431,-121.9882,42,SeaTac,R-2,HIGHLAND PARK,2,291750,404375,2001,0,24214,3141,3141,0,12,0,3,2.0,4,3,0,1,0,378,0,0,1,0,0,0,0,0,0,0,0,0,1,0,X
90,1994-05-15,829928,4.0,   ,nochg,2024,47.6908,-122.2346,75,KIRKLAND,R-3,OAKWOOD MANOR,2,471529,358399,2014,0,16705,3355,3355,0,7,0,5,1.0,5,1,0,1,0,91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,P
91,2003-12-15,510160,3.0,   ,nochg,2024,47.5977,-122.3552,6,SHORELINE,R-6,ALDERWOOD SOUTH DIV NO. 02,2,266870,243290,1953,0,29031,2463,2463,0,4,0,3,1.0,3,1,0,1,0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,H
92,2008-06-15,581962,2.0,   ,nochg,2024,47.7918,-122.3147,51,BURIEN,R-2,HOLLYWOOD HILL HIGHLANDS,2,397623,184339,1962,0,11158,2241,2241,0,9,0,2,2.0,1,3,0,0,0,141,0,0,1,0,1,0,0,0,0,0,0,0,0,0,K
93,1990-02-15,819926,3.0,   ,nochg,2024,47.6965,-121.9913,68,RENTON,RS-7200,PINE VIEW ESTATES,2,532701,287225,1900,0,5233,4303,4303,0,10,0,3,2.0,2,2,0,0,0,340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,K
